,company_name,company_address,company_brand,company_halal_status,company_info_url,state,category
33,MALDITA BEAUTY,"206 DUNCAN ROAD ESTEVAN, SASKATCHEWAN CANADA S4A0A2. ",,,directory/slm_viewdetail.php?comp_code=COMP-20201014-114636&type=C&ty=CO,01,KO
34,MAYYARICH SDN. BHD.,"NO.14 &16, JALAN ENAU 11, TAMAN TERATAI, 81300 SKUDAI Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20190122-092720&type=C&ty=CO,01,KO
35,MM COSMETIC SDN BHD,"NO. 4, JALAN PERSIARAN MAJU CEMERLANG, TAMAN PERINDUSTRIAN MAJU CEMERLANG,  81800 ULU TIRAM, JOHOR BHARU, JOHOR. Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20190625-082807&type=C&ty=CO,01,KO
36,MONTENEGRO TRADING,"77-G-9, PENANG TIMES SQUARE  JALAN DATO KERAMAT 10150 PULAU PINANG ",,,directory/slm_viewdetail.php?comp_code=COMP-20210619-173527&type=C&ty=CO,01,KO
37,NATURAL Y BEAUTY CARE TRADING,"GF-S-26, TAMAN KAMPAR, 31900 KAMPAR, PERAK ",,,directory/slm_viewdetail.php?comp_code=COMP-20210906-175938&type=C&ty=CO,01,KO
38,PT NEX SUKSES GLOBAL,"JL. GN SAHARI RAYA NO.1, MALL MANGGA DUA, SQUARE LT.2, BLOK.B NO 48, 49, 57, ANCOL, PADEMANGAN JAKARTA UTARA, INDONESIA. ",,,directory/slm_viewdetail.php?comp_code=COMP-20171025-142746&type=C&ty=CO,01,KO
39,RHJ TIJARAH RESOURCES,"NO 118 LEVEL 2,  JALAN PRIMA SG4, PRIMA SRI GOMBAK  68100 BATU CAVES, SELANGOR 68100 Selangor",,,directory/slm_viewdetail.php?comp_code=COMP-20190912-110532&type=C&ty=CO,01,KO
40,RX SERVICES SDN BHD,"6, JALAN PP 11/5 , ALAM PERDANA INDUSTRIAL PARK , TAMAN PUTRA PERDANA , PUCHONG 47100 PUCHONG Selangor",,,directory/slm_viewdetail.php?comp_code=COMP-20100514-122406&type=C&ty=CO,01,KO
41,SA MAHABBAH ENTERPRISE,"NO. 8A,  TINGKAT ATAS BANGUNAN TABUNG HAJI, GUAR CHEMPEDAK 08800 GURUN, KEDAH. 08800 Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20200305-091253&type=C&ty=CO,01,KO
42,SERAIMAS HERBS SDN BHD,"NO. 20, PERINDUSTRIAN RINGAN TERES 3 TINGKAT, JALAN TEGUH 2, TAMAN PERINDUSTRIAN LABIS, 85300 SEGAMAT, JOHOR. 85300 LABIS Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20110729-121849&type=C&ty=CO,01,KO
43,SOUTHERN LION SDN BHD,"NO. 3 , JALAN FIRMA 2, TEBRAU INDUSTRIAL ESTATE, 81100 JOHOR BAHRU, JOHOR. 81100 JOHOR BAHRU Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20060314-104002&type=C&ty=CO,01,KO
44,SUMMIT COMPANY (MALAYSIA) SDN BHD,"LOT 6, JALAN 19/1, 46300 PETALING JAYA,  SELANGOR. ",,,directory/slm_viewdetail.php?comp_code=COMP-20071204-125847&type=C&ty=CO,01,KO
45,SYARIKAT WEN KEN DRUG SDN BHD,"24, JALAN LAMBAK TAMAN JOHOR 81200 JOHOR BAHRU, JOHOR. ",,,directory/slm_viewdetail.php?comp_code=COMP-20050727-181401&type=C&ty=CO,01,KO
46,THREE BEAUTIES OF LONDON SDN. BHD.,"SUITE 12.05A, 12TH FLOOR,  JOHOR TOWER 15, JALAN GEREJA, 80100 JOHOR BHARU, JOHOR. Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20191210-083010&type=C&ty=CO,01,KO
47,TIDY NON- WOVEN SDN BHD,"LOT PTD 5408, PLO 162, JALAN PERINDUSTRIAN 11, KAWASAN PERINDUSTRIAN TANJUNG AGAS, 84000 MUAR Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20051206-125037&type=C&ty=CO,01,KO
48,TOHTONKU SDN BHD,"186,  JALAN BURMA, 10350, GEORGETOWN, PULAU PINANG. 10350 Pulau Pinang",,,directory/slm_viewdetail.php?comp_code=COMP-20060712-111159&type=C&ty=CO,01,KO
49,UFORA COSMETICS SDN. BHD.,"PT 474, ARAS 1 LEMBAH SIREH  15050 KOTA BHARU, KELANTAN 15050 KOTA BHARU Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20200205-103346&type=C&ty=CO,01,KO
50,UNITED BABIES STUDIO SDN BHD,"LOT. 1889, JALAN KPB 7, KAWASAN PERINDUSTRIAN KG. BARU BALAKONG 43300 SERI KEMBANGAN , SELANGOR Selangor",,,directory/slm_viewdetail.php?comp_code=COMP-20170811-232137&type=C&ty=CO,01,KO
